8.960000,	1.004554,	1.830221

9.000000,	1.036582,	1.798193

9.040000,	1.101083,	1.798193

9.080000,	1.197388,	1.734140

9.120000,	1.293689,	1.670092

9.160000,	1.357964,	1.638069

9.200000,	1.422006,	1.574027

9.240000,	1.486279,	1.542008

9.280000,	1.550790,	1.542008

9.320000,	1.646840,	1.445958

9.360000,	1.710868,	1.381930

9.400000,	1.742880,	1.349918

9.440000,	1.806901,	1.285897

9.480000,	1.838910,	1.253888

9.520000,	1.934929,	1.157869

9.560000,	1.934426,	1.093862

9.600000,	2.030428,	0.997860

9.640000,	2.030172,	0.965861

9.680000,	2.061912,	0.901868

9.720000,	2.093649,	0.837879

9.760000,	2.125381,	0.773895

9.800000,	2.157110,	0.709915

9.840000,	2.220821,	0.613955

9.880000,	2.220292,	0.549986

9.920000,	2.219762,	0.486023

9.960000,	2.283453,	0.390086

10.000000,	2.282916,	0.326134

10.040000,	2.282378,	0.262187

10.080000,	2.281839,	0.198244

10.120000,	2.313266,	0.102338

10.160000,	2.312723,	0.038406

10.200000,	2.311905,	-0.057482

10.240000,	2.279126,	-0.121402

10.280000,	2.214122,	-0.185317

10.320000,	2.309986,	-0.281182

10.360000,	2.277209,	-0.345086

10.400000,	2.244435,	-0.408985

10.440000,	2.243610,	-0.504826

10.480000,	2.210839,	-0.568713

10.520000,	2.178072,	-0.632597

10.560000,	2.145308,	-0.696475

10.600000,	2.112272,	-0.792285

10.640000,	2.079515,	-0.856152

10.680000,	2.046760,	-0.920014

10.720000,	1.981807,	-0.983872

10.760000,	1.917134,	-1.015800

10.800000,	1.884122,	-1.111575

10.840000,	1.851384,	-1.175419

10.880000,	1.786460,	-1.239259

10.920000,	1.721814,	-1.271177

10.960000,	1.656907,	-1.335009

11.000000,	1.656102,	-1.430750

11.040000,	1.559297,	-1.462661

11.080000,	1.526321,	-1.558388

11.120000,	1.429803,	-1.558388

11.160000,	1.364936,	-1.622200

11.200000,	1.300340,	-1.654104

11.240000,	1.203588,	-1.686008

11.280000,	1.170908,	-1.749811

11.320000,	1.074177,	-1.781710

11.360000,	1.009611,	-1.813609

11.400000,	0.912900,	-1.845506

11.440000,	0.848350,	-1.877403

11.480000,	0.783806,	-1.909298

11.520000,	0.687126,	-1.941192

11.560000,	0.590705,	-1.941192

11.600000,	0.621855,	-2.068756
